nm_empresa,website_url,run_at,product_category,product_name,materials,is_wood_related,mentions_pinus,source_hint
Hence Do Brasil - Forquilhinha,https://www.hence.com.br,2026-01-15T13:29:29.889386+00:00,Doors,Elliottis Pine Wooden Doors,Elliottis Pine,yes,yes,Elliottis Pine Wooden Doors Specifications
Herli Moveis - Rio Negrinho,https://herli.com.br/pt,2026-01-15T13:24:26.037244+00:00,cabinetry,ARMÁRIO COM MOLDURA FRONTAL,"Contraplacado (12 mm, 18 mm), Madeira de pinho maciça, MDF (18 mm)",yes,yes,https://herli.com.br/pt/cabinetry
Ibk - Massaranduba,https://ibk.ind.br/,2026-01-15T13:58:35.734727+00:00,Painel de madeira,Painel de madeira colada,"Eucalipto, Pinus, Teca",yes,yes,https://ibk.ind.br/painel-de-madeira-colada/
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Guarda Roupas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Camas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cabeceiras,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cômodas,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page
Inter Link Group Of Production - Sao Bento do Sul,https://linksmoveisdemadeira.com.br/,2026-01-15T13:26:15.243463+00:00,Móveis,Cadeiras de Escritório/Gamer,Madeira maciça de Pinus (Pinus Elliottii),yes,yes,Product category listed on the main page
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Madeira,Madeira Serrada,Pinus,yes,yes,https://www.intercroma.com/madeira
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Painéis,Painéis,Pinus,yes,yes,https://www.intercroma.com/madeira
Intercroma S/A - Sao Bento do Sul,https://www.intercroma.com/,2026-01-15T13:21:25.457502+00:00,Móveis,Móveis,Pinus,yes,yes,https://www.intercroma.com/madeira
Irani Papel E Embalagem S.A. - Rio Negrinho,https://irani.com.br,2026-01-15T13:32:54.588184+00:00,Resinas,Resinas de Pinus (Breu e Terebintina),Pinus,yes,yes,Produtos e Serviços
JL Corrêa Madeiras,https://jlcorreamadeiras.com.br,2026-01-15T14:14:11.048076+00:00,Madeira,Pinus Tratado,Pinus,yes,yes,List of wood types
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papeis,Papel Kraftliner,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-kraftliner
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel Kraftliner,KLALINER,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-kraftliner
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papeis,Papel-cartão,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold FZ®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold GB®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klamulti®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klaliquid®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klacup®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Sack Kraft,Sack Kraft,Kraft natural,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/sack-kraft
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Molduras,Molduras,Madeira de pinus,yes,yes,Products section
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Painéis,Painéis colados EGP,Madeira de pinus,yes,yes,Products section and 'Quem Somos' section
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Madeira processada,Tábuas Aplainadas Finger Joint,Madeira de pinus,yes,yes,Products section
Lg Madeiras Ltda - Araquari,https://lgmadeiras.com/,2026-01-15T13:14:53.536996+00:00,Lâminas,Lâminas de Eucalipto e Pinus,"Eucalipto, Pinus",yes,yes,https://lgmadeiras.com/
Lg Madeiras Ltda - Araquari,https://lgmadeiras.com/,2026-01-15T13:14:53.536996+00:00,Madeira Serrada,Madeira Serrada de Pinus,Pinus,yes,yes,https://lgmadeiras.com/
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Roliços e Cabos de Madeira,Roliços e Cabos de Madeira,Pinus wood,yes,yes,Roliços e Cabos de Madeira
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Estrados de Cama,Estrados de Cama,Pinus wood,yes,yes,Estrados de Cama
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Madeiras aplainadas e pré-cortadas,Madeiras aplainadas e pré-cortadas,Pinus wood,yes,yes,Madeiras aplainadas e pré-cortadas
Madeireira Rodrigues,https://www.nereurodrigues.com.br,2026-01-15T13:24:40.502407+00:00,Compensados,Chapas Compensados de Pinus,Pinus,yes,yes,Homepage text
Madepar Industria E Comercio De Madeiras Ltda - Lages,https://www.madepardoors.com/,2026-01-15T12:29:13.104799+00:00,Floresta/Madeira,Reflorestamento (Pinus spp. e Eucalyptus spp.),"Pinus spp., Eucalyptus spp.",yes,yes,Florestas page
Maderil Madereira Beira Rio Ltda - Ararangua,https://mbeirario.com.br,2026-01-15T12:22:27.839328+00:00,PAINÉIS,Painéis colado de Pinus taeda / elliottii,Pinus taeda / elliottii,yes,yes,"Painéis colado de Pinus taeda / elliottii, calibrado (lixado), com 12% de umidade sendo de lamina solida ou/e de finger jointed."
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Pine Beams,Pine,yes,yes,## Pine Beams
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Pine Panel,Pine,yes,yes,## Pine Panel
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Aparador Grande com 2 Gavetas Veneza em Pinus,Pinus,yes,yes,Aparador Grande com 2 Gavetas Veneza em Pinus
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Aparador Pequeno com 1 Gaveta Veneza em Pinus,Pinus,yes,yes,Aparador Pequeno com 1 Gaveta Veneza em Pinus
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Conjunto Mesa e 6 Cadeiras York em Pinus,Pinus,yes,yes,Conjunto Mesa e 6 Cadeiras York em Pinus
Mow Brazil Co Ltda - Navegantes,https://mowbrazil.com/pt/#lumber,2026-01-15T12:54:30.218892+00:00,MADEIRA SERRADA,PINUS ELIOTTI/TAEDA,Pinus Eliotti/Taeda,yes,yes,https://mowbrazil.com/pt/#lumber
Mow Brazil Ltda - Itajai,https://mowbrazil.com/pt/,2026-01-15T12:47:53.252123+00:00,Madeira Serrada,PINUS ELIOTTI/TAEDA,Pinus,yes,yes,PINUS ELIOTTI/TAEDA section
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Madeiras para móveis,Madeira,yes,yes,Exportação
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Jardinagem (cercas),Madeira,yes,yes,Exportação
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Bords,Madeira,yes,yes,Exportação
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Madeiras para pallets,Madeira,yes,yes,Exportação
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Embalagens,Madeira,yes,yes,Exportação
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Embalagem,Madeira,yes,yes,Vendas Nacionais
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Construção Civil,Madeira,yes,yes,Vendas Nacionais
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Sobras de Exportação,Madeira,yes,yes,Vendas Nacionais
Rosina Portas Ltda,https://rosinadoors.com,2026-01-15T12:54:38.438372+00:00,Portas,Portas,Pinheiros reflorestados,yes,yes,QUALIDADE section
Serrabras Comercio De Madeiras Ltda - Rio Negrinho,https://www.serrabras.com/,2026-01-15T14:05:32.720821+00:00,Madeira Serrada,Madeira serrada de Pinus Taeda KD,Pinus Taeda,yes,yes,Sobre a SerraBras page
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/Usar-como-capa-copiar.jpg
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado Deck,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/decks-2-300x300.jpeg
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/Copia-de-IMG_0680-300x300.png
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Blanks,Blanks,Pinus Fingado,yes,yes,Blanks - Pinus Fingado - Nas Medidas que o Cliente Necessitar.
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Boards,Boards,Pinus Natural,yes,yes,Boards - Pinus Natural - Nas Medidas que o Cliente Necessitar.
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Fingado Clear,Pinus Fingado,yes,yes,Paineis de Pinus Fingado Clear.
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Natural com Nó,Pinus Natural,yes,yes,Painel Pinus Natural com Nó
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Solido Clear,Pinus (Solid Clear),yes,yes,Painel Pinus Solido Clear
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Redondo de Pinus,Pinus,yes,yes,Painel Redondo de Pinus
Ultrapiso Industria Comercio E Importacao Ltda - Balneario Camboriu,https://ultrapiso.com.br,2026-01-15T13:28:52.468925+00:00,Piso Laminado,Piso Laminado de Madeira,Madeira (implied),yes,yes,https://ultrapiso.com.br/ (image filename: 4032271122545_laminate_verona_golden_pine_1)
ABB Wood Brazil,https://abb-wood.com/pt-br/,2026-01-15T14:02:37.100048+00:00,Wood for pallets,Serraria,"Standard or specific wooden planks, custom beams, blocks.",yes,no,Serraria
ABB Wood Brazil,https://abb-wood.com/pt-br/,2026-01-15T14:02:37.100048+00:00,Pellet Factory,Wood Pellets,,yes,no,Wood Pellets
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Alizar,MDF Hidrófugo,yes,no,Componentes > Alizar
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Marco,MDF Hidrófugo,yes,no,Componentes > Marco
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS02,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS03,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS07,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS08,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS15,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta
Abstratto Estofados Ltda - Jaragua do Sul,https://www.abstratto.com.br/,2026-01-15T12:44:04.919300+00:00,Poltrona,Poltrona Fox Giro Madeira,Madeira,yes,no,Poltrona Fox Giro Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Paletes,Paletes,Madeira,yes,no,Paletes
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Caixas,Caixas,Madeira,yes,no,Caixas
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Base Fixa,Base Fixa para Máquinas,Madeira,yes,no,Base Fixa para Máquinas
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Base Móvel,Base Móvel para Máquinas,Madeira,yes,no,Base Móvel para Máquinas
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Engradados,Engradados de Madeira,Madeira,yes,no,Engradados de Madeira
Bigfer-Industria E Comercio De Ferragens Ltda - Curitibanos,https://www.bigfer.com.br/,2026-01-15T14:10:05.919660+00:00,Gabaritos,Gabaritos,Wood (implied),yes,no,Gabaritos
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,Madeira serrada,"Madeira serrada em bruto de diversas medidas, verde ou seca em estufa",Madeira,yes,no,Mercado Interno
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,Biomassa,Biomassa para geração de energia (cavacos com casca e serragem),"Cavacos, casca, serragem",yes,no,Mercado Interno
Brasil Pellet Industria E Comercio Ltda - Timbo,https://www.elbra.org,2026-01-15T13:16:53.331546+00:00,Combustível,Pellets,Resíduos da indústria madeireira,yes,no,https://www.elbra.org/pellets
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,,S4S Boards,,yes,no,PRODUCTS & DIVISIONS section
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,,Mouldings,,yes,no,PRODUCTS & DIVISIONS section
Braswood - Rio do Sul,https://www.braswood.com.br/,2026-01-15T13:53:27.176396+00:00,Lumber,Eucalyptus Lumber,Eucalyptus,yes,no,PRODUCTS & DIVISIONS section
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,Piso Laminado QuickStep Pátina Cottage 120x19cm,,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,Piso Laminado QuickStep Carvalho Natural envernizado 120x19cm,,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,Piso Laminado QuickStep Carvalho Vanilla 120x19cm,,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Castanheiro natural Restaurado 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Deserto Restaurado 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Cubano 180x21,5cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Agreste 180x21,5cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Vitoriano 180x21,5cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Acinzentado com cortes de serra 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Natural Serrado 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Café restaurado 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Cumaru Tefé 180x21,5cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Carvalho Claro serrado 135,5x19cm",,yes,no,Piso Laminado
Camatti Materiais De Construcao Ltda - Chapeco,https://camattiacabamentos.com.br/,2026-01-15T13:31:09.261779+00:00,Piso Laminado,"Piso Laminado QuickStep Imbirema 180x21,5cm",,yes,no,Piso Laminado
Colo Ind E Com De Artefatos De Madeira Ltda - Mafra,https://colo.com.br,2026-01-15T14:13:42.843288+00:00,Portas,Portas internas,"Madeira lamelar engenheirada, lâmina de madeira, capa de HDF, PVC",yes,no,https://colo.com.br/produtos/
Colo Ind E Com De Artefatos De Madeira Ltda - Mafra,https://colo.com.br,2026-01-15T14:13:42.843288+00:00,Portas,Portas de armários,Madeira natural,yes,no,https://colo.com.br/produtos/
Colo Ind E Com De Artefatos De Madeira Ltda - Mafra,https://colo.com.br,2026-01-15T14:13:42.843288+00:00,Rodapés e revestimento de parede,Rodapés e revestimento de parede,Madeira natural reflorestada,yes,no,https://colo.com.br/produtos/
Colo Ind E Com De Artefatos De Madeira Ltda - Mafra,https://colo.com.br,2026-01-15T14:13:42.843288+00:00,Pisos,Pisos,Madeira natural,yes,no,https://colo.com.br/produtos/
Cultivar Servicos Florestais Ltda - Lages,cultivarflorestal.com.br,2026-01-15T13:34:17.172999+00:00,Serviço Florestal,Silvicultura,madeira,yes,no,Services page
