nome_empresa,url_site,data_coleta,categoria_produto,nome_produto,material,relacionado_madeira,menciona_pinus,fonte_indicio,categoria_produto_norm,categoria_produto_grupo,material_norm,material_grupo
Irani Papel E Embalagem S.A. - Rio Negrinho,https://irani.com.br,2026-01-15T13:32:54.588184+00:00,Resinas,Resinas de Pinus (Breu e Terebintina),Pinus,yes,yes,Produtos e Serviços,resinas,outros,pinus,Pinus
JL Corrêa Madeiras,https://jlcorreamadeiras.com.br,2026-01-15T14:14:11.048076+00:00,Madeira,Pinus Tratado,Pinus,yes,yes,List of wood types,madeira,madeira,pinus,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papeis,Papel Kraftliner,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-kraftliner,papeis,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel Kraftliner,KLALINER,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-kraftliner,papel kraftliner,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papeis,Papel-cartão,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papeis,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold FZ®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klafold GB®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klamulti®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klaliquid®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Papel-cartão,Klacup®,Fibras virgens de pinus e eucalipto,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/papel-cartao,papel-cartao,outros,fibras virgens de pinus e eucalipto,Pinus
Klabin S.A. - Pouso Redondo,https://klabin.com.br/,2026-01-15T12:48:01.397078+00:00,Sack Kraft,Sack Kraft,Kraft natural,yes,yes,https://klabin.com.br/negocios-e-produtos/papeis/sack-kraft,sack kraft,outros,kraft natural,Kraft natural
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Molduras,Molduras,Madeira de pinus,yes,yes,Products section,molduras,outros,madeira de pinus,Pinus
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Painéis,Painéis colados EGP,Madeira de pinus,yes,yes,Products section and 'Quem Somos' section,paineis,outros,madeira de pinus,Pinus
Lavradora Racional De Madeiras Lavrama Sa - Timbo Grande,https://www.lavrama.com.br/,2026-01-15T13:08:08.993450+00:00,Madeira processada,Tábuas Aplainadas Finger Joint,Madeira de pinus,yes,yes,Products section,madeira processada,madeira,madeira de pinus,Pinus
Lg Madeiras Ltda - Araquari,https://lgmadeiras.com/,2026-01-15T13:14:53.536996+00:00,Lâminas,Lâminas de Eucalipto e Pinus,"Eucalipto, Pinus",yes,yes,https://lgmadeiras.com/,laminas,outros,"eucalipto, pinus",Pinus
Lg Madeiras Ltda - Araquari,https://lgmadeiras.com/,2026-01-15T13:14:53.536996+00:00,Madeira Serrada,Madeira Serrada de Pinus,Pinus,yes,yes,https://lgmadeiras.com/,madeira serrada,madeira,pinus,Pinus
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Roliços e Cabos de Madeira,Roliços e Cabos de Madeira,Pinus wood,yes,yes,Roliços e Cabos de Madeira,rolicos e cabos de madeira,madeira,pinus wood,Pinus
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Estrados de Cama,Estrados de Cama,Pinus wood,yes,yes,Estrados de Cama,estrados de cama,outros,pinus wood,Pinus
Madeiras Lega Ltda - Herval d'Oeste,https://madeiraslega.com.br/,2026-01-15T13:48:00.744804+00:00,Madeiras aplainadas e pré-cortadas,Madeiras aplainadas e pré-cortadas,Pinus wood,yes,yes,Madeiras aplainadas e pré-cortadas,madeiras aplainadas e pre-cortadas,madeira,pinus wood,Pinus
Madeireira Rodrigues,https://www.nereurodrigues.com.br,2026-01-15T13:24:40.502407+00:00,Compensados,Chapas Compensados de Pinus,Pinus,yes,yes,Homepage text,compensados,outros,pinus,Pinus
Madepar Industria E Comercio De Madeiras Ltda - Lages,https://www.madepardoors.com/,2026-01-15T12:29:13.104799+00:00,Floresta/Madeira,Reflorestamento (Pinus spp. e Eucalyptus spp.),"Pinus spp., Eucalyptus spp.",yes,yes,Florestas page,floresta/madeira,madeira,"pinus spp., eucalyptus spp.",Pinus
Maderil Madereira Beira Rio Ltda - Ararangua,https://mbeirario.com.br,2026-01-15T12:22:27.839328+00:00,PAINÉIS,Painéis colado de Pinus taeda / elliottii,Pinus taeda / elliottii,yes,yes,"Painéis colado de Pinus taeda / elliottii, calibrado (lixado), com 12% de umidade sendo de lamina solida ou/e de finger jointed.",paineis,outros,pinus taeda / elliottii,Pinus
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Pine Beams,Pine,yes,yes,## Pine Beams,nan,outros,pine,Pinus
Madesp Ind E Com De Madeiras Ltda - Benedito Novo,https://madesp.ind.br/,2026-01-15T12:42:26.824439+00:00,,Pine Panel,Pine,yes,yes,## Pine Panel,nan,outros,pine,Pinus
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Aparador Grande com 2 Gavetas Veneza em Pinus,Pinus,yes,yes,Aparador Grande com 2 Gavetas Veneza em Pinus,nan,outros,pinus,Pinus
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Aparador Pequeno com 1 Gaveta Veneza em Pinus,Pinus,yes,yes,Aparador Pequeno com 1 Gaveta Veneza em Pinus,nan,outros,pinus,Pinus
Moveis Paulo Ltda - Sao Bento do Sul,https://www.moveispaulo.ind.br/,2026-01-15T14:01:58.442385+00:00,,Conjunto Mesa e 6 Cadeiras York em Pinus,Pinus,yes,yes,Conjunto Mesa e 6 Cadeiras York em Pinus,nan,outros,pinus,Pinus
Mow Brazil Co Ltda - Navegantes,https://mowbrazil.com/pt/#lumber,2026-01-15T12:54:30.218892+00:00,MADEIRA SERRADA,PINUS ELIOTTI/TAEDA,Pinus Eliotti/Taeda,yes,yes,https://mowbrazil.com/pt/#lumber,madeira serrada,madeira,pinus eliotti/taeda,Pinus
Mow Brazil Ltda - Itajai,https://mowbrazil.com/pt/,2026-01-15T12:47:53.252123+00:00,Madeira Serrada,PINUS ELIOTTI/TAEDA,Pinus,yes,yes,PINUS ELIOTTI/TAEDA section,madeira serrada,madeira,pinus,Pinus
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Madeiras para móveis,Madeira,yes,yes,Exportação,exportacao,portas,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Jardinagem (cercas),Madeira,yes,yes,Exportação,exportacao,portas,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Bords,Madeira,yes,yes,Exportação,exportacao,portas,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Madeiras para pallets,Madeira,yes,yes,Exportação,exportacao,portas,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Exportação,Embalagens,Madeira,yes,yes,Exportação,exportacao,portas,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Embalagem,Madeira,yes,yes,Vendas Nacionais,vendas nacionais,outros,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Construção Civil,Madeira,yes,yes,Vendas Nacionais,vendas nacionais,outros,madeira,Madeira
Ponte Alta Indústria e Comércio de Madeiras,https://pontealtaexp.com.br/,2026-01-15T13:32:44.482579+00:00,Vendas Nacionais,Sobras de Exportação,Madeira,yes,yes,Vendas Nacionais,vendas nacionais,outros,madeira,Madeira
Rosina Portas Ltda,https://rosinadoors.com,2026-01-15T12:54:38.438372+00:00,Portas,Portas,Pinheiros reflorestados,yes,yes,QUALIDADE section,portas,portas,pinheiros reflorestados,Pinheiros reflorestados
Serrabras Comercio De Madeiras Ltda - Rio Negrinho,https://www.serrabras.com/,2026-01-15T14:05:32.720821+00:00,Madeira Serrada,Madeira serrada de Pinus Taeda KD,Pinus Taeda,yes,yes,Sobre a SerraBras page,madeira serrada,madeira,pinus taeda,Pinus
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/Usar-como-capa-copiar.jpg,nan,outros,pinus,Pinus
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado Deck,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/decks-2-300x300.jpeg,nan,outros,pinus,Pinus
Shopping Da Madeira - Araquari,https://shoppingdamadeira.com.br/,2026-01-15T12:24:05.959684+00:00,,Pinus Autoclavado,Pinus,yes,yes,https://shoppingdamadeira.com.br/wp-content/uploads/2023/09/Copia-de-IMG_0680-300x300.png,nan,outros,pinus,Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Blanks,Blanks,Pinus Fingado,yes,yes,Blanks - Pinus Fingado - Nas Medidas que o Cliente Necessitar.,blanks,outros,pinus fingado,Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Boards,Boards,Pinus Natural,yes,yes,Boards - Pinus Natural - Nas Medidas que o Cliente Necessitar.,boards,outros,pinus natural,Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Fingado Clear,Pinus Fingado,yes,yes,Paineis de Pinus Fingado Clear.,painel,moveis,pinus fingado,Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Natural com Nó,Pinus Natural,yes,yes,Painel Pinus Natural com Nó,painel,moveis,pinus natural,Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Pinus Solido Clear,Pinus (Solid Clear),yes,yes,Painel Pinus Solido Clear,painel,moveis,pinus (solid clear),Pinus
Sul America Industria De Molduras - Braco do Norte,https://www.sulamericamolduras.com.br,2026-01-15T12:52:46.184676+00:00,Painel,Painel Redondo de Pinus,Pinus,yes,yes,Painel Redondo de Pinus,painel,moveis,pinus,Pinus
Ultrapiso Industria Comercio E Importacao Ltda - Balneario Camboriu,https://ultrapiso.com.br,2026-01-15T13:28:52.468925+00:00,Piso Laminado,Piso Laminado de Madeira,Madeira (implied),yes,yes,https://ultrapiso.com.br/ (image filename: 4032271122545_laminate_verona_golden_pine_1),piso laminado,madeira,madeira (implied),Madeira
ABB Wood Brazil,https://abb-wood.com/pt-br/,2026-01-15T14:02:37.100048+00:00,Wood for pallets,Serraria,"Standard or specific wooden planks, custom beams, blocks.",yes,no,Serraria,wood for pallets,madeira,"standard or specific wooden planks, custom beams, blocks.",Madeira
ABB Wood Brazil,https://abb-wood.com/pt-br/,2026-01-15T14:02:37.100048+00:00,Pellet Factory,Wood Pellets,,yes,no,Wood Pellets,pellet factory,outros,,Não especificado
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Alizar,MDF Hidrófugo,yes,no,Componentes > Alizar,componentes,outros,mdf hidrofugo,Mdf hidrofugo
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Marco,MDF Hidrófugo,yes,no,Componentes > Marco,componentes,outros,mdf hidrofugo,Mdf hidrofugo
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS02,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta,componentes,outros,"mdp de baixa densidade, painel de madeira solida, colmeia de alta resistencia",Madeira
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS03,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta,componentes,outros,"mdp de baixa densidade, painel de madeira solida, colmeia de alta resistencia",Madeira
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS07,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta,componentes,outros,"mdp de baixa densidade, painel de madeira solida, colmeia de alta resistencia",Madeira
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS08,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta,componentes,outros,"mdp de baixa densidade, painel de madeira solida, colmeia de alta resistencia",Madeira
Abrilar Industria De Esquadrias Ltda - Lontras,https://abrilar.com.br/,2026-01-15T13:01:51.737316+00:00,Componentes,Folhas de Porta PSS15,"MDP de Baixa Densidade, Painel de Madeira Sólida, Colmeia de alta Resistência",yes,no,Componentes > Folhas de Porta,componentes,outros,"mdp de baixa densidade, painel de madeira solida, colmeia de alta resistencia",Madeira
Abstratto Estofados Ltda - Jaragua do Sul,https://www.abstratto.com.br/,2026-01-15T12:44:04.919300+00:00,Poltrona,Poltrona Fox Giro Madeira,Madeira,yes,no,Poltrona Fox Giro Madeira,poltrona,moveis,madeira,Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Paletes,Paletes,Madeira,yes,no,Paletes,paletes,outros,madeira,Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Caixas,Caixas,Madeira,yes,no,Caixas,caixas,outros,madeira,Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Base Fixa,Base Fixa para Máquinas,Madeira,yes,no,Base Fixa para Máquinas,base fixa,outros,madeira,Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Base Móvel,Base Móvel para Máquinas,Madeira,yes,no,Base Móvel para Máquinas,base movel,moveis,madeira,Madeira
Agro Florestal Comercio Varejista De Madeiras Ltda - Garuva,https://agroflorestal1.wixsite.com/my-site,2026-01-15T13:13:58.463312+00:00,Engradados,Engradados de Madeira,Madeira,yes,no,Engradados de Madeira,engradados,outros,madeira,Madeira
Bigfer-Industria E Comercio De Ferragens Ltda - Curitibanos,https://www.bigfer.com.br/,2026-01-15T14:10:05.919660+00:00,Gabaritos,Gabaritos,Wood (implied),yes,no,Gabaritos,gabaritos,outros,wood (implied),Madeira
Blue Forest Industria E Comercio Ltda - Lages,https://blueforest.com.br,2026-01-15T12:54:53.981357+00:00,Madeira serrada,"Madeira serrada em bruto de diversas medidas, verde ou seca em estufa",Madeira,yes,no,Mercado Interno,madeira serrada,madeira,madeira,Madeira
