Razão Social,Nome do Sócio,Porte da Empresa,Ano de Início,Microrregião,Município,Endereço Completo,nu_telefone_1,nm_correio_eletronico
Comfloresta Cia Cat Empr Florestais Scp Proj Charqueada,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Proj Costeira,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Proj Palmital,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Proj Ribeira I,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Proj Sao Joao,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Acarai,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Cambuca,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Inga,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Itapema,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Lagoa,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucareim",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Lamim,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Pereque,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Piray I,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Cat Empr Florestais Scp Projeto Rainha,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Comfloresta Cia Catar Emp Florestais Scp Proj Garuva,,Média e grande,1987,Joinville,Joinville,"Rua Inacio Bastos 1084 Sede, Bucarein",,
Cooperativa De Reflorestamento Cooperflorestal,"Giovani Trapp,Lincoln Possada De Rezende,Adamo Vicente Nascimento,Dalles Ferreira Campanati,Rubilar Miranda Heberle",Média e grande,2011,Canoinhas,Papanduva,"Estrada Salto Itajai Sn Sala  03, Salto Itajai",34377711,administrativo@cooperlipto.com.br
Cooperativa De Reflorestamento De Sao Joao Batista Cooperflora,"Cleiton Batista,Maxiliano De Oliveira,Jose Paulo De Freitas Junior,Luiz Fernando Cadore Valle,Julio Cesar Klimesch",Média e grande,2015,Tijucas,Sao Joao Batista,"Rua Getulio Vargas 599 Apt   605                       Sede Administrativa, Centro",34220502,
Cooperativa De Reflorestamento Investlipto,"Alexsandro Schu,Lucas Eduardo Miranda Schmidt,Alessandro Pinto Schulz,Roberto Klosowski Machado,Gilson Lisandro Schelbauer Junior",Média e grande,2013,Canoinhas,Papanduva,"Estrada Salto Itajai Sn Sala  05, Salto Itajai",34377711,administrativo@cooperlipto.com.br
Coopercati Cooperativa De Reflorestamento De Canelinha E Tijucas,"Ervino Pelegrini,Helio Cesar Gama Do Nascimento,Jefferson Adriano,Luiz Fernando Cadore Valle,Julio Cesar Klimesch",Média e grande,2009,Tijucas,Tijucas,"Rua Atanasio A Bernardes 240 Sala  02, Centro",32630246,
Cooperjoi Cooperativa De Reflorestamento,"Sergio Da Silva,Luis Carlos De Mendonca Rocha,Patrick Hoepfner,Adamo Vicente Nascimento,Luiz Fernando Maul",Média e grande,2009,Canoinhas,Papanduva,"Estrada Salto Itajai Sn Sala  02, Salto Itajai",34377711,administrativo@cooperlipto.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Itajaí,Itajai,"Rua Zona Rural Itajai S/N, Ribeirao Brilhante",3249564,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Blumenau,Indaial,"Rua Fundos Ribeirao Warnow S/N, Warnow",3249564,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Blumenau,Gaspar,"Rua Estrada Geral S/N, Garuva",3249607,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Itajaí,Ilhota,"Rua Estrada Geral Da Fruteira S/N, Pratinha",3249564,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Itajaí,Camboriu,"Rua Ribeirao Do Meio S/N, Zona Rural Camboriu",3249564,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Blumenau,Luiz Alves,"Estrada Geral S/N, Ribeirao Do Padre",30371370,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Itajaí,Navegantes,"Rua Estrada Geral S/N, Leiteiro",3249564,casas@coteminas.com.br
Coteminas S.A.  Em Recuperacao Judicial,Josue Christiano Gomes Da Silva,Média e grande,2005,Blumenau,Ascurra,"Rua Estrada Geral S/N, Ribeirao Rinco",3249564,casas@coteminas.com.br
Cp-Pien S.A.,"Fernando Maciel Hiller Voigt,Emerson Ricardo De Barros,Sidnei De Andrade,Valdir Steglich,Rosinete Medeiros",Média e grande,2008,Joinville,Joinville,"Rua Ararangua 50, America",91876048,fernando.voigt@digitaldoor.com.br
Crescer Gestao E Negocios Ltda,Zita Aparecida Mafra,Pequena,2020,Rio do Sul,Witmarsum,"Estrada Geral Caminho Do Anu S/N, Caminho Anu",84371103,crescer.negocios@outlook.com.br
Ds Agroflorestal Ltda,"Darcy Sadi Jose Santin,Mayara Werlang Santin,Marcel Werlang Santin",Média e grande,2020,Chapecó,Pinhalzinho,"Rua Joao Pessoa 2080 Sala  Ed Bela Cita Sl 03, Centro",33661146,
Fazeco Cultivo De Eucalipto Ltda,"Javier Francisco Carrera,Hector Francisco Carrera,Rodrigo Martin Carrera,Maria De Las Mercedes Carrera Mato,Analia Beatriz Carrera",Média e grande,2017,Araranguá,Ararangua,"Rua Vereador Euclides Odorico Do Canto 1190, Morro Dos Conventos",99069515,carregaing@gmail.com
Fazendas Ns Aparecida Ltda,"Debora Montecchi Dos Santos Rosa Barreto,Daniele Montechi Dos Santos Rosa,Brenda Regina Viana Montecchi",Média e grande,2025,Joinville,Joinville,"Rua Senador Felipe Schmidt 363 Apt   1303                Box   A, Centro",92172226,d.montechi@hotmail.com
Fk Florestal Ltda,"Felipe Guidali Koeche,Rachel Baggio Da Costa Silva Guidali Koeche",Pequena,2008,Campos de Lages,Lages,"Rua Jacy Guidali 101 Sala  02, Restinga Seca",99731295,
Florestal Moretto Ltda,"Pedro Joaquim Moretto,Antonico Ovinski",Média e grande,1986,Blumenau,Gaspar,"Rodovia Jorge Lacerda S/N Km 8, Bela Vista",,
Florestal Pinhal Ltda,"Claudio Andre Heinen,Geronimo Knorst,Alcides Filippi Tome,Carmen Regina Carbonera,Janete Luzia Nunes De Souza Silveira,Valdir Spricigo,Waldemar Antonio Schmitz,Aldevino Pertile,Renato Matias Kroth,Jose Wolschick Neto,Jair Albani,Adelir Jose Scatolin,Nei Estevao Pressi,Cesar Vanderlei Mayer,Luiz Alberto Rosset,Ernani Edison Horvath,Euzebio Deboni,Antonio Rover,Ademir Belatto,Joao Pedro Frozza,Jandir Raimundo Copati,Heloisa Frozza,Marcia Wendling Rudiger,Leandro Enrique Junges,Jorge Altair Eckert,Marcos Antonio Zordan,Agostinho Jose Jung,Elizandra Maira Giacchini Mayer,Nerildo Luiz Giachini,Antonio Ari Jung,Pinhal Invest S/A,Charles Ricardo Mayer",Média e grande,2011,Chapecó,Pinhalzinho,"Avenida Sao Paulo 1577 Sala  09                  Edif  Eduardo, Centro",33662080,odanir@factus.cnt.br
Florestal Santa Catarina S.A.,"Sandro Fabiano Avila,Marcos Paulo Conde Ivo",Média e grande,2024,Campos de Lages,Otacilio Costa,"Avenida Olinkraft 6.602 Sala  Papagaio Charao, Igaras",30465800,centrocompsapfiscal@klabin.com.br
Gpr - Giotto Gestao E Administracao Da Propriedade Imobiliaria S/S Ltda,"Marilda Santos Giotto,Cintia Regina Santos Giotto,Umberto Giotto Neto",Pequena,2020,Xanxerê,Passos Maia,"Fazenda Taborda Sn, Interior",99228817,cintia@gprgiotto.com.br
Hcr Heidrich Agropecuaria Ltda,"Ellen Heidrich,Wolfgang Wachholz,Sandro Kraemer,Evaldo Udo Heidrich",Média e grande,2017,Rio do Sul,Taio,"Estrada Geral 0, Ribeirao Da Vargem Iii",35220521,fiscal@avc.ind.br
Iterere Participacoes S/A,"Nilson Jose Goedert,Jose Olir Mocelin",Média e grande,2004,Florianópolis,Florianopolis,"Avenida Almirante Tamandare 94 Sala  1003, Coqueiros",30371205,paralegal@rgcontadores.com.br
Kitano Agronegocios Ltda,"Marlene Kitano,Kitano Participacoes Ltda,Daygo Kitano",Média e grande,2023,Campos de Lages,Correia Pinto,"Avenida Tancredo Neves 575, Centro",96491309,kitaninho@yahoo.com.br
Kleiner Schein Industria De Moveis E Decoracoes Ltda,Guido Heinzen Junior,Média e grande,2014,Tubarão,Sao Martinho,"Rua Germano Effting S/N, Centro",21232535,
Letti Industria E Comercio Ltda,"Luiz Carlos Letti,Luiz Letti Sobrinho,Luiz Fernando Letti,Andre Luiz Lermen,Vicente Letti,Vera Lucia Letti Lermen,Claudio Luis Letti,Vilmar Rodrigues De Souza,Plinio Letti Filho,Paulo Roberto Letti",Média e grande,1977,Campos de Lages,Sao Jose do Cerrito,"Fazenda Pinheiros Ralos S/N, Sede",,
Ljd Participacoes Ltda,"Joao Victor Degenhardt,Marcia Regina Tonet Degenhardt,Fabio Degenhardt,Luis Henrique Degenhardt",Média e grande,2022,Rio do Sul,Rio do Sul,"Rua Leopoldo Ledra 80, Santana",88360041,res.friar@hotmail.com
Marodin Exportacao Ltda,"Marodin Participacoes S.A.,Helio Enir Marodin,Enio Marodin,Omarodin Participacoes E Investimentos Ltda,Vera Rejane Fauri,Fratelli Fabris Participacoes Ltda.",Média e grande,1973,Curitibanos,Campos Novos,"Fazenda Campos Novos Sn, Distrito De Vargem",,
Mili S/A,"Valdemar Lissoni,Vanderlei Sebastiao Micheletto",Média e grande,2018,Canoinhas,Mafra,"Vila Rio Branco Sn Casa, Rio Branco Mfa",32278077,alberto@mili.com.br
Mili S/A,"Valdemar Lissoni,Vanderlei Sebastiao Micheletto",Média e grande,2014,Canoinhas,Canoinhas,"Area Area Rural De Canoinhas Sn, Area Rural De Canoinhas",32278077,alberto@mili.com.br
Mili S/A,"Valdemar Lissoni,Vanderlei Sebastiao Micheletto",Média e grande,2023,Canoinhas,Bela Vista do Toldo,"Vila Rio Bonito S/N, Rio Bonito Bvt",32278077,alberto@mili.com.br
Monte Castelo Participacoes S/A,"Kelly Cristine Goedert,Davi Mendonca Do Vale Pereira",Média e grande,2006,Florianópolis,Florianopolis,"Avenida Almirante Tamandare 94 Sala  1003, Coqueiros",30371205,paralegal@rgcontadores.com.br
Montfort Administradora De Bens E Agroflorestal S.A,"Regina Marchi Fernandes,Cristiano Fernandes",Média e grande,2022,Rio do Sul,Rio do Sul,"Rua Maria Auxiliadora 240 Apt   702                 Edif  Vista 240, Centro",91917947,cristiano@wagnerefernandes.adv.br
Oxford Agro-Energetica Ltda Scp Projeto Oxford 1,,Média e grande,1987,São Bento do Sul,Sao Bento do Sul,"Rua Jorge Diener 88, Oxford",,
Philippi S A,,Média e grande,1968,Campos de Lages,Bom Retiro,"Estrada Geral Sn, Paraiso Da Serra",,
Pmw Reflorestamento Ltda,"Eugenio Munaretto,Juarez Antonio Werle",Pequena,2019,Chapecó,Sao Lourenco do Oeste,"Estrada Santos Dumont 0, Rural",91052017,
Reflorestadora Catarinense Ltda,"Marilia Silva Teixeira,Jayme Antunes Teixeira",Média e grande,1977,Tubarão,Imarui,"Estrada Geral S/N Fazenda Reflorsul, Rio Duna",,
Reflorestadora Catarinense Ltda,"Marilia Silva Teixeira,Jayme Antunes Teixeira",Média e grande,1970,Florianópolis,Florianopolis,"Alameda Huriberto Hulse 152, Centro",30343779,
Reflorestadora Pinheirinho Ltda,"Mari Aparecida Dresch,Magda Do Carmo Dresch",Média e grande,1979,Campos de Lages,Campo Belo do Sul,"Rua Jose Da Costa Varella 469, Centro",,
Reflorestadora Scherer Ltda,"Antonio Carlos Scherer,Marcelo De Queiroz Scherer",Média e grande,1985,Tabuleiro,Rancho Queimado,"Estrada Geral Sn, Campinho",,
Reflorestadora Scherer Ltda,"Antonio Carlos Scherer,Marcelo De Queiroz Scherer",Média e grande,1985,Florianópolis,Palhoca,"Estrada Geral Sn, Guarda Do Cubatao",,
Reflorita Reflorestamento Itaqui Ltda Em Recuperacao Judicial,"Martin Heinz Schmidt,Nelson Luiz Vieira De Morais Lara,Harry Arno Schmidt,Walter Arno Schmidt,Porcelana Schmidt S A Em Recuperacao Judicial",Média e grande,1975,Blumenau,Pomerode,"Rua Luiz Abry 849, Centro",,
Rincao Agroflorestal Ltda,Edvandro Cesar Modena,Média e grande,2024,Joaçaba,Herval d'Oeste,"Estrada Geral Barra Verde S/N, L Barra Verde",32631016,valmir@proserv.com.br
Rincao Agroflorestal Ltda,Edvandro Cesar Modena,Média e grande,2024,Joaçaba,Agua Doce,"Fazenda Bom Retiro 0, L Zona Nova",32631016,santiagoelangaro@gmail.com
Romano Massignan S A Industria E Comercio,"Silvia Maier,Ricardo Massignan De Freitas",Média e grande,1973,Joaçaba,Agua Doce,"Fazenda Araucaria Sn, Nova Vicenza",,
S5 Florestal Ltda,"Rodrigo Dlugosz Da Silva,Leandro Dlugosz Da Silva",Pequena,2023,Canoinhas,Canoinhas,"Rua Emilio Scholtz 978 Sala  Sala 01, Sossego",99114742,rodrigo@s5florestal.com.br
Sorocaba Participacoes Ltda,"Back Guesser Advogados,Rainilde Colonetti Back,Woimer Jose Back,Paulo Valfredo Back,Samurai Participacoes Ltda",Média e grande,2008,Florianópolis,Biguacu,"Rodovia Prefeito Joao Brasil De Azevedo Sn, Sorocaba De Fora",36586774,woimer@riotunel.com.br
Tucano Agro Florestal E Geracao De Energia Ltda,"Alpes Participacoes Ltda.,Sicuro Participacoes Ltda.,Juleide Ines D Agostini,Jaime Jose D Agostini",Média e grande,2007,Chapecó,Maravilha,"Rua Duque De Caxias 626 Sala  104, Centro",88149760,juleidedagostini@gmail.com
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1985,Joinville,Joinville,"Loc  Poco Grande Sn, Poco Grande",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1989,Joinville,Jaragua do Sul,"Loc  Ribeirao Grande Sn, Ribeirao Grande",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1984,Joinville,Massaranduba,"Loc  Sete De Janeiro Sn, Sete De Janeiro",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1985,Blumenau,Gaspar,"Loc  Barracao Sn, Barracao",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1982,Joinville,Corupa,"Loc  Rio Bruacas Sn, Bruacas",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1985,Joinville,Araquari,"Loc  Itinga Sn, Itinga",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1982,Joinville,Guaramirim,"Loc  Poco Grande Sn, Poco Grande",,
Tupy Agroenergetica Ltda.,"Luciano Prestes Boiko,Tupy S/A,Toni Marcelo Zampieri Bueno,Rodrigo Cesar Perico",Média e grande,1989,Blumenau,Luiz Alves,"Loc  Laranjeira Sn, Laranjeira",,
Tutti Insieme Ltda,Renato Gnoatto,Média e grande,2025,Chapecó,Chapeco,"Rua Clevelandia 415 E Apt   101, Centro",91282642,gnoato63@hotmail.com
Verok - Agricultura E Pecuaria Ltda,"Roberto Kaefer,Velci Luiz Kaefer",Média e grande,2010,Joaçaba,Catanduvas,"Rodovia Sc 463 - Linha Gramado Bonito S/N Km    03, Zona Rural",32182000,globoaves@globoaves.com.br
Visao - Agro Florestal E Geracao De Energia Ltda.,"Felipe Ramos D Agostini,Jose D Agostini Neto,Tres Participacoes Ltda",Média e grande,2007,Joaçaba,Joacaba,"Avenida Xv De Novembro 468 Andar Primeiro            Sala  A, Centro",35221505,
Vm Participacoes Societarias E Reflorestamento Ltda,"Juliano Langowski,Sabrina Langowski Olsen,Joaosinho Langowski,Tassiana Langowski Fischer",Média e grande,2022,Canoinhas,Mafra,"Avenida Prefeito Frederico Heyse 325, Centro I Baixada",36452599,juliano@moveisjor.com.br
